REGIAO,REG,TABANCA,TAB,AMOSTRA;;;REGIAO;REG;TABANCA;TAB;AMOSTRA
MSF Bafata,16,85 - Sabalencunda,85,57;;;MSF Bafata;16;Sabalencunda;85;57
MSF Bafata,16,86 - Querowane,86,57;;;MSF Bafata;16;Querowane;86;57
MSF Bafata,16,87 - Lenquel,87,58;;;MSF Bafata;16;Lenquel;87;58
MSF Bafata,16,88 - Sanghare,88,59;;;MSF Bafata;16;Sanghare;88;59
MSF Bafata,16,89 - Caira Sane ,89,22;;;MSF Bafata;16;Caira Sane ;89;22
MSF Bafata,16,90 - Candemba Uri,90,22;;;MSF Bafata;16;Candemba Uri;90;22
MSF Bafata,16,91 - Sare Bamba,91,24;;;MSF Bafata;16;Sare Bamba;91;24
MSF Bafata,16,92 - Wadje Mandinga,92,24;;;MSF Bafata;16;Wadje Mandinga;92;24
MSF Bafata,16,93 - Mamacono,93,25;;;MSF Bafata;16;Mamacono;93;25
MSF Bafata,16,94 - Sint MFali,94,25;;;MSF Bafata;16;Sint MFali;94;25
MSF Bafata,16,95 - Wadje Fula,95,26;;;MSF Bafata;16;Wadje Fula;95;26
MSF Bafata,16,96 - Sint Djae,96,30;;;MSF Bafata;16;Sint Djae;96;30
MSF Bafata,16,97 - Sint Samba,97,30;;;MSF Bafata;16;Sint Samba;97;30
MSF Bafata,16,98 - Sint Bambe,98,31;;;MSF Bafata;16;Sint Bambe;98;31
MSF Bafata,16,99 - Sint Sira,99,31;;;MSF Bafata;16;Sint Sira;99;31
MSF Bafata,16,100 - Sare Salum,100,32;;;MSF Bafata;16;Sare Salum;100;32
MSF Bafata,16,101 - Sint Demba,101,32;;;MSF Bafata;16;Sint Demba;101;32
MSF Bafata,16,102 - Moro,102,40;;;MSF Bafata;16;Moro;102;40
MSF Bafata,16,103 - Fanca Sancule,103,40;;;MSF Bafata;16;Fanca Sancule;103;40
MSF Bafata,16,104 - Sare Peta,104,41;;;MSF Bafata;16;Sare Peta;104;41
MSF Bafata,16,105 - Sare Canta,105,41;;;MSF Bafata;16;Sare Canta;105;41
MSF Bafata,16,106 - Lamoy,106,42;;;MSF Bafata;16;Lamoy;106;42
MSF Bafata,16,107 - Campra Jauba,107,43;;;MSF Bafata;16;Campra Jauba;107;43
MSF Bafata,16,108 - Sare Coli Embalo,108,43;;;MSF Bafata;16;Sare Coli Embalo;108;43
MSF Bafata,16,109 - Sare Mamudo,109,44;;;MSF Bafata;16;Sare Mamudo;109;44
MSF Bafata,16,110 - Sint Damiro,110,44;;;MSF Bafata;16;Sint Damiro;110;44
MSF Bafata,16,111 - Sint Asse,111,45;;;MSF Bafata;16;Sint Asse;111;45
MSF Bafata,16,112 - Sint Coli Binta,112,45;;;MSF Bafata;16;Sint Coli Binta;112;45
MSF Bafata,16,113 - Sintcham Aliu,113,47;;;MSF Bafata;16;Sintcham Aliu;113;47
MSF Bafata,16,114 - Panalitcha,114,47;;;MSF Bafata;16;Panalitcha;114;47
MSF Bafata,16,115 - Sintcham Sambael,115,48;;;MSF Bafata;16;Sintcham Sambael;115;48
MSF Bafata,16,116 - Sintcham Djaie,116,48;;;MSF Bafata;16;Sintcham Djaie;116;48
MSF Bafata,16,117 - Sibidjam Fula,117,46;;;MSF Bafata;16;Sibidjam Fula;117;46
MSF Bafata,16,118 - Sore Mali,118,29;;;MSF Bafata;16;Sore Mali;118;29
MSF Bafata,16,119 - Sitcham Niede,119,29;;;MSF Bafata;16;Sitcham Niede;119;29
MSF Bafata,16,120 - Bairro Nema,120,28;;;MSF Bafata;16;Bairro Nema;120;28
MSF Bafata,16,121 - Djana,121,27;;;MSF Bafata;16;Djana;121;27
